alg,puzzle_size,f%,instance_id,instance_path,ants,subcolonies,q0,rho,bve,safreq,timeout,success_rate,time_mean,time_std,iter_mean,with_comm,without_comm
2,16x16,,2456,,10,4,0.9,0.9,0.005,50,20.0,100.0,0.01089,0.00704,2.37,0,100
2,16x16,,2467,,10,4,0.9,0.9,0.005,50,20.0,100.0,0.01173,0.00609,3.25,0,100
2,16x16,,2468,,10,4,0.9,0.9,0.005,50,20.0,100.0,0.01845,0.01434,3.74,0,100
2,16x16,,2471,,10,4,0.9,0.9,0.005,50,20.0,100.0,0.02353,0.0586,5.22,1,99
2,16x16,,2475,,10,4,0.9,0.9,0.005,50,20.0,100.0,0.01741,0.00773,3.88,0,100
2,16x16,,2477,,10,4,0.9,0.9,0.005,50,20.0,100.0,0.01145,0.00279,2.61,0,100
2,16x16,,2478,,10,4,0.9,0.9,0.005,50,20.0,100.0,0.0148,0.00292,3.43,0,100
2,16x16,,2483,,10,4,0.9,0.9,0.005,50,20.0,100.0,0.03798,0.0922,8.4,1,99
2,16x16,,2491,,10,4,0.9,0.9,0.005,50,20.0,100.0,0.01408,0.00631,3.7,0,100
2,16x16,,2507,,10,4,0.9,0.9,0.005,50,20.0,100.0,0.01592,0.01501,3.88,0,100
2,16x16,,2522,,10,4,0.9,0.9,0.005,50,20.0,100.0,0.14715,0.21015,27.81,8,92
2,16x16,,2525,,10,4,0.9,0.9,0.005,50,20.0,100.0,0.14321,0.44428,29.03,8,92
2,16x16,,2526,,10,4,0.9,0.9,0.005,50,20.0,100.0,0.10392,0.20497,22.61,6,94
2,16x16,,2534,,10,4,0.9,0.9,0.005,50,20.0,100.0,0.01174,0.00434,3.42,0,100
2,16x16,,2536,,10,4,0.9,0.9,0.005,50,20.0,100.0,0.01244,0.00504,3.42,0,100
2,16x16,,2544,,10,4,0.9,0.9,0.005,50,20.0,100.0,0.01929,0.01315,3.99,0,100
2,16x16,,2558,,10,4,0.9,0.9,0.005,50,20.0,100.0,0.02748,0.08989,7.77,2,98
2,16x16,,2561,,10,4,0.9,0.9,0.005,50,20.0,100.0,0.01604,0.02727,4.15,0,100
2,16x16,,2563,,10,4,0.9,0.9,0.005,50,20.0,100.0,0.01822,0.01286,4.56,0,100
2,16x16,,2567,,10,4,0.9,0.9,0.005,50,20.0,100.0,0.01428,0.0118,3.39,0,100
2,16x16,,2570,,10,4,0.9,0.9,0.005,50,20.0,100.0,0.22174,0.64192,38.05,10,90
2,16x16,,2571,,10,4,0.9,0.9,0.005,50,20.0,100.0,0.01813,0.00967,3.66,0,100
2,16x16,,2572,,10,4,0.9,0.9,0.005,50,20.0,100.0,0.01694,0.01659,4.41,0,100
2,16x16,,2590,,10,4,0.9,0.9,0.005,50,20.0,100.0,0.017,0.01989,4.08,0,100
2,16x16,,2602,,10,4,0.9,0.9,0.005,50,20.0,100.0,0.1756,0.28101,34.78,19,81
2,16x16,,2623,,10,4,0.9,0.9,0.005,50,20.0,100.0,0.05154,0.0751,12.69,0,100
2,16x16,,2669,,10,4,0.9,0.9,0.005,50,20.0,100.0,0.03274,0.02581,7.65,0,100
2,16x16,,2686,,10,4,0.9,0.9,0.005,50,20.0,100.0,0.89646,2.12674,142.19,25,75
2,16x16,,2733,,10,4,0.9,0.9,0.005,50,20.0,100.0,0.03809,0.02568,8.15,0,100
2,16x16,,2747,,10,4,0.9,0.9,0.005,50,20.0,100.0,0.09797,0.21442,18.02,3,97
2,16x16,,2755,,10,4,0.9,0.9,0.005,50,20.0,100.0,0.12847,0.24808,21.63,6,94
2,16x16,,2756,,10,4,0.9,0.9,0.005,50,20.0,100.0,0.07123,0.09204,13.47,0,100
2,16x16,,2778,,10,4,0.9,0.9,0.005,50,20.0,100.0,0.01266,0.00376,2.46,0,100
2,16x16,,2779,,10,4,0.9,0.9,0.005,50,20.0,100.0,0.00842,0.00237,1.76,0,100
2,16x16,,2851,,10,4,0.9,0.9,0.005,50,20.0,100.0,0.18193,0.21447,36.47,10,90
2,16x16,,2862,,10,4,0.9,0.9,0.005,50,20.0,100.0,0.23323,0.99046,34.78,6,94
2,16x16,,2875,,10,4,0.9,0.9,0.005,50,20.0,100.0,0.02744,0.01413,4.82,0,100
2,16x16,,2904,,10,4,0.9,0.9,0.005,50,20.0,100.0,0.03679,0.05166,6.76,0,100
2,16x16,,2910,,10,4,0.9,0.9,0.005,50,20.0,100.0,0.02624,0.02577,5.54,0,100
2,16x16,,2924,,10,4,0.9,0.9,0.005,50,20.0,100.0,0.01581,0.00452,3.28,0,100
2,16x16,,2933,,10,4,0.9,0.9,0.005,50,20.0,100.0,0.01164,0.00252,2.5,0,100
2,16x16,,2935,,10,4,0.9,0.9,0.005,50,20.0,100.0,0.01214,0.00636,2.75,0,100
2,16x16,,2940,,10,4,0.9,0.9,0.005,50,20.0,100.0,0.01684,0.01321,3.87,0,100
2,16x16,,2943,,10,4,0.9,0.9,0.005,50,20.0,100.0,0.01095,0.00986,2.5,0,100
2,16x16,,2964,,10,4,0.9,0.9,0.005,50,20.0,100.0,0.01814,0.00884,3.6,0,100
2,16x16,,2971,,10,4,0.9,0.9,0.005,50,20.0,100.0,0.02911,0.0114,5.25,0,100
2,16x16,,2973,,10,4,0.9,0.9,0.005,50,20.0,100.0,0.04248,0.05516,9.65,0,100
2,16x16,,2978,,10,4,0.9,0.9,0.005,50,20.0,100.0,0.02071,0.01312,4.02,0,100
2,16x16,,2985,,10,4,0.9,0.9,0.005,50,20.0,100.0,0.05036,0.06839,9.75,0,100
