alg,puzzle_size,f%,instance_id,instance_path,ants,subcolonies,q0,rho,bve,safreq,timeout,success_rate,time_mean,time_std,iter_mean,with_comm,without_comm
2,16x16,,2456,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.01713,0.06069,4.2,1,99
2,16x16,,2467,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.01352,0.01051,3.74,0,100
2,16x16,,2468,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.02314,0.03936,5.21,0,100
2,16x16,,2471,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.01358,0.0072,3.58,0,100
2,16x16,,2475,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.01591,0.00721,3.61,0,100
2,16x16,,2477,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.01145,0.00383,2.61,0,100
2,16x16,,2478,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.01704,0.00834,3.39,0,100
2,16x16,,2483,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.0341,0.0478,7.86,0,100
2,16x16,,2491,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.01503,0.0058,3.67,0,100
2,16x16,,2507,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.01552,0.01035,3.71,0,100
2,16x16,,2522,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.10511,0.15646,21.26,2,98
2,16x16,,2525,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.16175,0.44316,31.99,7,93
2,16x16,,2526,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.18679,0.76507,39.62,7,93
2,16x16,,2534,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.01425,0.00894,3.22,0,100
2,16x16,,2536,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.01491,0.00444,3.38,0,100
2,16x16,,2544,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.02009,0.00951,3.89,0,100
2,16x16,,2558,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.02697,0.06338,7.22,2,98
2,16x16,,2561,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.01535,0.00469,3.51,0,100
2,16x16,,2563,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.01961,0.00896,4.13,0,100
2,16x16,,2567,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.01747,0.01046,3.32,0,100
2,16x16,,2570,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.16182,0.39926,28.42,12,88
2,16x16,,2571,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.02046,0.00782,3.3,0,100
2,16x16,,2572,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.03763,0.11349,8.58,1,99
2,16x16,,2590,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.02411,0.04623,5.17,1,99
2,16x16,,2602,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.11844,0.22185,25.05,7,93
2,16x16,,2623,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.06385,0.13283,15.0,3,97
2,16x16,,2669,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.03294,0.01986,7.19,0,100
2,16x16,,2686,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.33634,0.87567,71.0,14,86
2,16x16,,2733,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.03449,0.02742,8.32,0,100
2,16x16,,2747,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.0619,0.12833,13.57,4,96
2,16x16,,2755,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.18677,0.71026,39.22,6,94
2,16x16,,2756,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.06308,0.07281,14.42,0,100
2,16x16,,2778,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.01258,0.00361,2.51,0,100
2,16x16,,2779,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.0081,0.00394,1.66,0,100
2,16x16,,2851,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.14536,0.21388,35.5,6,94
2,16x16,,2862,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.04865,0.17931,9.69,3,97
2,16x16,,2875,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.02824,0.0203,5.22,0,100
2,16x16,,2904,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.03353,0.06676,6.36,1,99
2,16x16,,2910,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.022,0.01749,4.47,0,100
2,16x16,,2924,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.01627,0.01116,3.38,0,100
2,16x16,,2933,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.01168,0.00431,2.61,0,100
2,16x16,,2935,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.01128,0.00431,2.79,0,100
2,16x16,,2940,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.01467,0.0051,3.49,0,100
2,16x16,,2943,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.01186,0.01067,3.05,0,100
2,16x16,,2964,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.01651,0.00626,3.46,0,100
2,16x16,,2971,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.03363,0.03296,5.59,0,100
2,16x16,,2973,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.05288,0.08294,12.63,1,99
2,16x16,,2978,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.01744,0.00534,3.78,0,100
2,16x16,,2985,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.05511,0.12231,11.43,5,95
